stock_name,exercise_price,Traded Volume(lacs),balance_units
MAXHEALTH,334.95,6.6,660000
APLLTD,820.3,1.91,191000
HAPPSTMNDS,1380,0.81,81000
POLYCAB,2548,2.47,247000
KSCL,557,0.71,71000
FACT,128.05,0.81,81000
CASTROLIND,147.45,6.96,696000
TASTYBITE,18164.2,0,0
BAJAJCON,258,2.54,254000
ANURAS,788,0.38,38000
SPANDANA,553.25,0.28,28000
HEG,2410,0.47,47000
ALKYLAMINE,3954.15,0.24,24000
ASTRAZEN,3150.05,0.1,10000
FSL,207.15,19.58,1958000
IOB,23.1,61.83,6183000
HATSUN,1435.8,0.16,16000
HINDCOPPER,125.8,20.58,2058000
RATNAMANI,2190.05,0.02,2000
AIAENG,1844,1.21,121000
PRSMJOHNSN,123.75,1.46,146000
DCMSHRIRAM,1225.05,0.58,58000
BLUEDART,6549.2,0.1,10000
ASTERDM,210.3,1.19,119000
OFSS,4713.65,0.52,52000
BRIGADE,459.7,3.79,379000
AVANTIFEED,580.25,0.75,75000
GRINDWELL,1478.05,0.55,55000
HATHWAY,26.4,22.49,2249000
BAJAJELEC,1226.25,0.62,62000
NAM-INDIA,446.95,2,200000
MFSL,994,2.78,278000
IPCALAB,2345,0.35,35000
INDIANB,158.8,81.97,8197000
CEATLTD,1371.2,1.5,150000
OIL,233.45,4.77,477000
INDIGOPNTS,2520.45,0.09,9000
3MINDIA,25760.1,0.02,2000
CANFINHOME,694.15,4.16,416000
MAHLOG,760.5,0.52,52000
KALYANKJIL,78.45,12.49,1249000
STARCEMENT,105.45,3.93,393000
VINATIORGA,2016.25,0.17,17000
FINEORG,3319.65,0.21,21000
TEAMLEASE,5181.7,0.16,16000
ERIS,788.25,0.2,20000
STAR,596.05,2.09,209000
CONCOR,692.5,12.73,1273000
MCX,2039.1,4.63,463000
CUB,168.05,11.5,1150000
GNFC,475,8.54,854000
KAJARIACER,1258.3,0.86,86000
CAMS,3090,1.17,117000
PRINCEPIPE,739,2,200000
ABFRL,269.65,22.6,2260000
MASTEK,3070.25,0.8,80000
VBL,901.7,1.47,147000
OBEROIRLTY,969.2,6.1,610000
DIXON,5414.95,1.57,157000
NILKAMAL,2656.55,0.05,5000
VTL,2083.85,1.49,149000
VAKRANGEE,43.2,25.43,2543000
SUVENPHAR,528.55,1.05,105000
ECLERX,2249.95,0.19,19000
BATAINDIA,2063,5.68,568000
WHIRLPOOL,2473.75,0.7,70000
BEL,208.15,31.81,3181000
JKLAKSHMI,635.1,1.47,147000
ADVENZYMES,398.15,1.57,157000
CRISIL,2980.6,0.16,16000
JKCEMENT,3384,0.37,37000
POONAWALLA,162.45,4.9,490000
SUPREMEIND,2548,0.62,62000
DELTACORP,281.85,43.4,4340000
MAHABANK,20.95,53.5,5350000
GUJALKALI,794.3,2.72,272000
KEI,952.05,0.75,75000
PRESTIGE,465.4,4.54,454000
TANLA,908.3,0.81,81000
INTELLECT,690.15,1.08,108000
AFFLE,1177.95,2.16,216000
CYIENT,1078.5,1.03,103000
LXCHEM,555.5,9.47,947000
SUZLON,7.25,237.3,23730000
HFCL,75.8,29.84,2984000
PETRONET,232.95,15.83,1583000
CGPOWER,115.25,4.79,479000
CHALET,244.45,2.26,226000
NOCIL,310.5,4.64,464000
NHPC,29.65,46.96,4696000
HOMEFIRST,662.6,0.79,79000
APLAPOLLO,859,1.87,187000
SCI,138.3,20.37,2037000
SWSOLAR,461.9,17.81,1781000
SFL,2409.8,0.26,26000
WOCKPHARMA,483,3.54,354000
METROPOLIS,2738,0.79,79000
WELSPUNIND,162.4,9.19,919000
HIKAL,507.8,2.74,274000
LODHA,1172.35,1.37,137000
GESHIP,363.9,1.95,195000
CHOLAHLDNG,739.05,0.37,37000
ICIL,296,1.89,189000
ALOKINDS,25.9,139.83,13983000
EPL,234.3,3.08,308000
BSE,1429.9,4.92,492000
FLUOROCHEM,2124.6,0.97,97000
IDBI,56.95,660.56,66056000
JUSTDIAL,933.4,3.32,332000
FRETAIL,57.6,42.93,4293000
SOBHA,833.7,1.78,178000
ROUTE,2248,2.42,242000
SRF,2426.35,12.28,1228000
SOLARA,1464,0.61,61000
RADICO,1136.15,8.34,834000
TV18BRDCST,44.8,72.16,7216000
NETWORK18,70.15,65.53,6553000
NAZARA,2890.05,0.43,43000
